flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
BT 885,Rhodos,Air Baltic Corporation,07:10,,2025-07-14
BT 851,Brüssel,Air Baltic Corporation,07:20,,2025-07-14
BT 857,Amsterdam,Air Baltic Corporation,07:30,,2025-07-14
OJ 223,Kärdla,Nyxair,07:30,,2025-07-14
OJ 201,Kuressaare,Nyxair,07:40,,2025-07-14
AY 1012,Helsingi,Finnair,08:00,,2025-07-14
BT 312,Riia,Air Baltic Corporation,09:05,,2025-07-14
AY 1014,Helsingi,Finnair,10:00,,2025-07-14
HN 3411,Tivat,Heston Airlines,10:30,,2025-07-14
AY 1016,Helsingi,Finnair,11:35,,2025-07-14
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,,2025-07-14
TK 1422,Istanbul,Turkish Airlines,12:35,,2025-07-14
AY 1018,Helsingi,Finnair,12:55,,2025-07-14
BT 316,Riia,Air Baltic Corporation,13:55,,2025-07-14
BT 859,Amsterdam,Air Baltic Corporation,14:05,,2025-07-14
LO 786,Varssavi,LOT - Polish Airlines,,,2025-07-14
LH 881,Frankfurt,Deutsche Lufthansa,14:30,,2025-07-14
AY 1020,Helsingi,Finnair,14:55,,2025-07-14
FR 2733,Berliin,Ryanair,15:10,,2025-07-14
SK 1745,Stockholm,Scandinavian Airlines System (SAS),16:35,,2025-07-14
BT 821,Berliin,Air Baltic Corporation,16:35,,2025-07-14
AY 1022,Helsingi,Finnair,16:50,,2025-07-14
BT 861,Pariis,Air Baltic Corporation,16:55,,2025-07-14
OJ 225,Kärdla,Nyxair,17:00,,2025-07-14
BT 823,München,Air Baltic Corporation,17:15,,2025-07-14
AY 1024,Helsingi,Finnair,17:20,,2025-07-14
FR 4623,Stockholm,Ryanair,17:45,,2025-07-14
OJ 207,Kuressaare,Nyxair,18:30,,2025-07-14
LO 788,Varssavi,LOT - Polish Airlines,18:30,,2025-07-14
LH 883,Frankfurt,Deutsche Lufthansa,18:55,,2025-07-14
LH 2405,München,Deutsche Lufthansa,19:10,,2025-07-14
TK 1424,Istanbul,Turkish Airlines,19:35,,2025-07-14
AY 1028,Helsingi,Finnair,20:00,,2025-07-14
TO 7409,Pariis,Transavia France,20:05,,2025-07-14
BT 809,Kopenhaagen,Air Baltic Corporation,20:35,,2025-07-14
W9 5446,London,Wizz Air UK,21:10,,2025-07-14
BT 318,Riia,Air Baltic Corporation,21:25,,2025-07-14
