flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
XQ 497,Antalya,SunExpress - Günes Ekspres Havacilik,04:25,N/A,2025-05-20
FH 732,Antalya,Freebird Airlines,N/A,N/A,2025-05-20
U5 7103,Sharm El Sheikh,SkyUp MT,N/A,N/A,2025-05-20
BT 362,Riia,Air Baltic Corporation,05:40,N/A,2025-05-20
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2025-05-20
LH 885,Frankfurt,Deutsche Lufthansa,06:00,N/A,2025-05-20
AY 1036,Helsingi,Finnair,06:00,N/A,2025-05-20
LX 1317,Zürich,Swiss,06:00,N/A,2025-05-20
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),06:20,N/A,2025-05-20
AY 1012,Helsingi,Finnair,06:55,N/A,2025-05-20
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:00,N/A,2025-05-20
BT 813,Billund,Air Baltic Corporation,07:00,N/A,2025-05-20
BT 879,Malaga,Air Baltic Corporation,07:05,N/A,2025-05-20
BT 851,Brüssel,Air Baltic Corporation,07:20,N/A,2025-05-20
BT 857,Amsterdam,Air Baltic Corporation,07:30,N/A,2025-05-20
OJ 223,Kärdla,Nyxair,07:30,N/A,2025-05-20
OJ 201,Kuressaare,Nyxair,07:40,N/A,2025-05-20
BT 312,Riia,Air Baltic Corporation,09:05,N/A,2025-05-20
FR 4645,Stockholm (Arlanda),Ryanair,09:05,N/A,2025-05-20
AY 1014,Helsingi,Finnair,10:00,N/A,2025-05-20
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),10:30,N/A,2025-05-20
AY 1034,Helsingi,Finnair,10:55,N/A,2025-05-20
AY 1016,Helsingi,Finnair,11:35,N/A,2025-05-20
FR 9914,Barcelona,Ryanair,11:40,N/A,2025-05-20
BT 314,Riia,Air Baltic Corporation,11:55,N/A,2025-05-20
FR 4623,Stockholm (Arlanda),Ryanair,12:05,N/A,2025-05-20
EW 4281,Praha,Eurowings,12:15,N/A,2025-05-20
AY 1018,Helsingi,Finnair,12:55,N/A,2025-05-20
BT 316,Riia,Air Baltic Corporation,13:55,N/A,2025-05-20
BT 859,Amsterdam,Air Baltic Corporation,14:05,N/A,2025-05-20
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2025-05-20
LH 881,Frankfurt,Deutsche Lufthansa,14:35,N/A,2025-05-20
AY 1020,Helsingi,Finnair,14:55,N/A,2025-05-20
BT 877,Barcelona,Air Baltic Corporation,15:05,N/A,2025-05-20
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,N/A,2025-05-20
HOT 3471,Heraklion,Valletta Airlines,16:20,N/A,2025-05-20
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:35,N/A,2025-05-20
AY 1022,Helsingi,Finnair,16:35,N/A,2025-05-20
BT 871,London (Gatwick),Air Baltic Corporation,17:00,N/A,2025-05-20
OJ 225,Kärdla,Nyxair,17:00,N/A,2025-05-20
AY 1024,Helsingi,Finnair,17:20,N/A,2025-05-20
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:25,N/A,2025-05-20
OJ 207,Kuressaare,Nyxair,18:30,N/A,2025-05-20
LH 883,Frankfurt,Deutsche Lufthansa,18:50,N/A,2025-05-20
TK 1424,Istanbul,Turkish Airlines,19:35,N/A,2025-05-20
AY 1028,Helsingi,Finnair,20:00,N/A,2025-05-20
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:00,N/A,2025-05-20
BT 904,Vilnius,Air Baltic Corporation,20:35,N/A,2025-05-20
BT 318,Riia,Air Baltic Corporation,21:45,N/A,2025-05-20
AY 1032,Helsingi,Finnair,22:20,N/A,2025-05-20
FR 2224,London (Stansted),Ryanair,23:00,N/A,2025-05-20
