flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
BT 362,Riia,Air Baltic Corporation,N/A,N/A,2026-05-01
LO 792,Varssavi (Chopin),LOT - Polish Airlines,N/A,N/A,2026-05-01
AY 1036,Helsingi,Finnair,N/A,N/A,2026-05-01
LH 885,Frankfurt,Deutsche Lufthansa,N/A,N/A,2026-05-01
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),N/A,N/A,2026-05-01
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:00,N/A,2026-05-01
BT 831,Viin,Air Baltic Corporation,07:15,N/A,2026-05-01
BT 865,Nice,Air Baltic Corporation,07:15,N/A,2026-05-01
BT 861,Pariis (Charles De Gaulle),Air Baltic Corporation,07:30,N/A,2026-05-01
BT 857,Amsterdam,Air Baltic Corporation,07:30,N/A,2026-05-01
OJ 223,Kärdla,Nyxair,07:30,N/A,2026-05-01
OJ 201,Kuressaare,Nyxair,07:40,N/A,2026-05-01
W6 1968,Vilnius,Wizz Air Hungary,08:05,N/A,2026-05-01
LO 790,Varssavi (Chopin),LOT - Polish Airlines,08:55,N/A,2026-05-01
BT 312,Riia,Air Baltic Corporation,09:20,N/A,2026-05-01
W6 1726,Gdańsk (Lech Wałęsa),Wizz Air Hungary,09:30,N/A,2026-05-01
FR 8903,Milano (Malpensa),Ryanair,10:10,N/A,2026-05-01
FR 2733,Berliin,Ryanair,10:15,N/A,2026-05-01
AY 1014,Helsingi,Finnair,10:55,N/A,2026-05-01
FR 2224,London (Stansted),Ryanair,11:05,N/A,2026-05-01
TK 1422,Istanbul,Turkish Airlines,11:15,N/A,2026-05-01
SK 1797,Kopenhaagen,Scandinavian Airlines System (SAS),11:20,N/A,2026-05-01
W9 5446,London (Luton),Wizz Air UK,11:35,N/A,2026-05-01
W4 6134,Rooma (Fiumicino),Wizz Air Malta,11:50,N/A,2026-05-01
EW 9739,Düsseldorf,Eurowings,12:15,N/A,2026-05-01
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,N/A,2026-05-01
AY 1016,Helsingi,Finnair,12:50,N/A,2026-05-01
4M 854,Antalya,Mavi Gök Airlines (MGA),13:05,N/A,2026-05-01
BT 314,Riia,Air Baltic Corporation,13:35,N/A,2026-05-01
BT 859,Amsterdam,Air Baltic Corporation,14:05,N/A,2026-05-01
LH 881,Frankfurt,Deutsche Lufthansa,14:15,N/A,2026-05-01
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2026-05-01
BT 815,Oslo,Air Baltic Corporation,14:50,N/A,2026-05-01
BT 821,Berliin,Air Baltic Corporation,15:15,N/A,2026-05-01
AY 1026,Helsingi,Finnair,15:15,N/A,2026-05-01
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:50,N/A,2026-05-01
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:00,N/A,2026-05-01
BT 904,Vilnius,Air Baltic Corporation,16:10,N/A,2026-05-01
AY 1024,Helsingi,Finnair,16:10,N/A,2026-05-01
BT 906,Vilnius,Air Baltic Corporation,16:10,N/A,2026-05-01
FR 4611,Stockholm (Arlanda),Ryanair,16:30,N/A,2026-05-01
AY 1020,Helsingi,Finnair,16:40,N/A,2026-05-01
OJ 225,Kärdla,Nyxair,17:00,N/A,2026-05-01
AY 1022,Helsingi,Finnair,17:20,N/A,2026-05-01
BT 316,Riia,Air Baltic Corporation,17:45,N/A,2026-05-01
LH 883,Frankfurt,Deutsche Lufthansa,18:00,N/A,2026-05-01
BT 851,Brüssel,Air Baltic Corporation,18:20,N/A,2026-05-01
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:25,N/A,2026-05-01
OJ 207,Kuressaare,Nyxair,18:30,N/A,2026-05-01
BT 823,München,Air Baltic Corporation,19:10,N/A,2026-05-01
AEG 7003,Helsingi,Airest,19:40,N/A,2026-05-01
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:20,N/A,2026-05-01
EW 4281,Praha,Eurowings,20:35,N/A,2026-05-01
BT 811,Kopenhaagen,Air Baltic Corporation,20:35,N/A,2026-05-01
BT 318,Riia,Air Baltic Corporation,20:40,N/A,2026-05-01
FR 5694,Dublin,Ryanair,22:20,N/A,2026-05-01
W6 1366,Varssavi (Chopin),Wizz Air Hungary,22:20,N/A,2026-05-01
AY 1032,Helsingi,Finnair,23:15,N/A,2026-05-01
