flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
BT 362,Riia,Air Baltic Corporation,05:30,N/A,2024-12-26
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2024-12-26
AY 1036,Helsingi,Finnair,06:00,N/A,2024-12-26
LX 1317,Zürich,Swiss,06:05,N/A,2024-12-26
LH 885,Frankfurt,Deutsche Lufthansa,06:25,N/A,2024-12-26
SK 1783,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:00,N/A,2024-12-26
BT 823,München,Air Baltic Corporation,07:05,N/A,2024-12-26
OJ 223,Kärdla,Nyxair,07:30,N/A,2024-12-26
BT 857,Amsterdam (Schiphol),Air Baltic Corporation,07:35,N/A,2024-12-26
OJ 201,Kuressaare,Nyxair,07:40,N/A,2024-12-26
BT 881,Tenerife (South),Air Baltic Corporation,08:10,N/A,2024-12-26
AY 1012,Helsingi,Finnair,08:25,N/A,2024-12-26
BT 312,Riia,Air Baltic Corporation,08:55,N/A,2024-12-26
AY 1014,Helsingi,Finnair,10:35,N/A,2024-12-26
FR 736,Viin,Ryanair,11:00,N/A,2024-12-26
BT 815,Oslo,Air Baltic Corporation,12:20,N/A,2024-12-26
BT 811,Kopenhaagen,Air Baltic Corporation,13:40,N/A,2024-12-26
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:05,N/A,2024-12-26
AY 1020,Helsingi,Finnair,14:40,N/A,2024-12-26
BT 316,Riia,Air Baltic Corporation,15:20,N/A,2024-12-26
BT 1019,Gran Canaria,Air Baltic Corporation,15:30,N/A,2024-12-26
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,N/A,2024-12-26
BT 871,London (Gatwick),Air Baltic Corporation,16:00,N/A,2024-12-26
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:35,N/A,2024-12-26
BT 851,Brüssel,Air Baltic Corporation,16:45,N/A,2024-12-26
OJ 225,Kärdla,Nyxair,17:00,N/A,2024-12-26
FR 5605,Rooma (Ciampino),Ryanair,17:05,N/A,2024-12-26
AY 1026,Helsingi,Finnair,17:45,N/A,2024-12-26
LH 883,Frankfurt,Deutsche Lufthansa,18:05,N/A,2024-12-26
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:20,N/A,2024-12-26
OJ 207,Kuressaare,Nyxair,18:30,N/A,2024-12-26
BT 906,Vilnius,Air Baltic Corporation,18:30,N/A,2024-12-26
TK 1424,Istanbul,Turkish Airlines,18:55,N/A,2024-12-26
FR 2224,London (Stansted),Ryanair,19:35,N/A,2024-12-26
FR 8903,Milano (Malpensa),Ryanair,20:40,N/A,2024-12-26
BT 318,Riia,Air Baltic Corporation,21:25,N/A,2024-12-26
FR 2733,Berliin,Ryanair,21:55,N/A,2024-12-26
AY 1032,Helsingi,Finnair,22:20,N/A,2024-12-26
FR 4623,Stockholm (Arlanda),Ryanair,23:10,N/A,2024-12-26
