flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
LX 1317,Zürich,Swiss,N/A,N/A,2026-04-03
BT 362,Riia,Air Baltic Corporation,N/A,N/A,2026-04-03
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2026-04-03
AY 1036,Helsingi,Finnair,06:00,N/A,2026-04-03
LH 885,Frankfurt,Deutsche Lufthansa,06:10,N/A,2026-04-03
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),06:15,N/A,2026-04-03
BT 831,Viin,Air Baltic Corporation,07:15,N/A,2026-04-03
BT 857,Amsterdam,Air Baltic Corporation,07:30,N/A,2026-04-03
BT 861,Pariis (Charles De Gaulle),Air Baltic Corporation,07:30,N/A,2026-04-03
OJ 223,Kärdla,Nyxair,07:30,N/A,2026-04-03
OJ 201,Kuressaare,Nyxair,07:40,N/A,2026-04-03
AY 1012,Helsingi,Finnair,07:55,N/A,2026-04-03
BT 811,Kopenhaagen,Air Baltic Corporation,08:00,N/A,2026-04-03
W6 1968,Vilnius,Wizz Air Hungary,08:05,N/A,2026-04-03
LO 790,Varssavi (Chopin),LOT - Polish Airlines,08:55,N/A,2026-04-03
BT 312,Riia,Air Baltic Corporation,09:20,N/A,2026-04-03
FR 8903,Milano (Malpensa),Ryanair,10:10,N/A,2026-04-03
FR 2733,Berliin,Ryanair,10:15,N/A,2026-04-03
AY 1014,Helsingi,Finnair,10:55,N/A,2026-04-03
FR 2224,London (Stansted),Ryanair,11:05,N/A,2026-04-03
TK 1422,Istanbul,Turkish Airlines,11:15,N/A,2026-04-03
SK 1797,Kopenhaagen,Scandinavian Airlines System (SAS),11:20,N/A,2026-04-03
W9 5446,London (Luton),Wizz Air UK,11:35,N/A,2026-04-03
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),11:35,N/A,2026-04-03
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,N/A,2026-04-03
BT 881,Tenerife (South),Air Baltic Corporation,12:40,N/A,2026-04-03
BT 821,Berliin,Air Baltic Corporation,13:25,N/A,2026-04-03
BT 314,Riia,Air Baltic Corporation,14:00,N/A,2026-04-03
BT 859,Amsterdam,Air Baltic Corporation,14:05,N/A,2026-04-03
LH 881,Frankfurt,Deutsche Lufthansa,14:15,N/A,2026-04-03
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2026-04-03
AY 1018,Helsingi,Finnair,14:40,N/A,2026-04-03
BT 815,Oslo,Air Baltic Corporation,14:50,N/A,2026-04-03
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:50,N/A,2026-04-03
AY 1024,Helsingi,Finnair,16:10,N/A,2026-04-03
FR 4611,Stockholm (Arlanda),Ryanair,16:30,N/A,2026-04-03
OJ 225,Kärdla,Nyxair,17:00,N/A,2026-04-03
AY 1022,Helsingi,Finnair,17:20,N/A,2026-04-03
BT 316,Riia,Air Baltic Corporation,17:45,N/A,2026-04-03
LH 883,Frankfurt,Deutsche Lufthansa,18:00,N/A,2026-04-03
BT 851,Brüssel,Air Baltic Corporation,18:20,N/A,2026-04-03
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:25,N/A,2026-04-03
OJ 207,Kuressaare,Nyxair,18:30,N/A,2026-04-03
BT 823,München,Air Baltic Corporation,19:10,N/A,2026-04-03
AEG 7003,Helsingi,Airest,19:40,N/A,2026-04-03
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:20,N/A,2026-04-03
BT 906,Vilnius,Air Baltic Corporation,20:35,N/A,2026-04-03
AY 1028,Helsingi,Finnair,21:20,N/A,2026-04-03
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2026-04-03
FR 5694,Dublin,Ryanair,22:20,N/A,2026-04-03
W6 1366,Varssavi (Chopin),Wizz Air Hungary,22:20,N/A,2026-04-03
AY 1032,Helsingi,Finnair,23:15,N/A,2026-04-03
