flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
U5 7105,Sharm El Sheikh,SkyUp MT,03:35,N/A,2026-01-01
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:40,N/A,2026-01-01
AY 1036,Helsingi,Finnair,06:00,N/A,2026-01-01
BT 857,Amsterdam,Air Baltic Corporation,07:25,N/A,2026-01-01
OJ 223,Kärdla,Nyxair,07:30,N/A,2026-01-01
BT 881,Tenerife (South),Air Baltic Corporation,07:45,N/A,2026-01-01
BT 877,Barcelona,Air Baltic Corporation,N/A,N/A,2026-01-01
HN 3453,Sharm El Sheikh,Heston Airlines,08:00,N/A,2026-01-01
AY 1012,Helsingi,Finnair,08:25,N/A,2026-01-01
BT 312,Riia,Air Baltic Corporation,08:55,N/A,2026-01-01
OJ 201,Kuressaare,Nyxair,10:05,N/A,2026-01-01
AY 1014,Helsingi,Finnair,10:35,N/A,2026-01-01
SK 1797,Kopenhaagen,Scandinavian Airlines System (SAS),11:00,N/A,2026-01-01
TK 1422,Istanbul,Turkish Airlines,11:25,N/A,2026-01-01
W9 5446,London (Luton),Wizz Air UK,12:20,N/A,2026-01-01
FR 5694,Dublin,Ryanair,12:50,N/A,2026-01-01
BT 859,Amsterdam,Air Baltic Corporation,14:00,N/A,2026-01-01
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:05,N/A,2026-01-01
AY 1020,Helsingi,Finnair,14:40,N/A,2026-01-01
AY 1022,Helsingi,Finnair,15:40,N/A,2026-01-01
BT 316,Riia,Air Baltic Corporation,15:40,N/A,2026-01-01
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,N/A,2026-01-01
BT 871,London (Gatwick),Air Baltic Corporation,16:00,N/A,2026-01-01
W6 2046,Kraków,Wizz Air Hungary,16:15,N/A,2026-01-01
AY 1024,Helsingi,Finnair,16:55,N/A,2026-01-01
OJ 225,Kärdla,Nyxair,17:00,N/A,2026-01-01
BT 1019,Gran Canaria,Air Baltic Corporation,17:05,N/A,2026-01-01
AY 1026,Helsingi,Finnair,17:20,N/A,2026-01-01
OJ 207,Kuressaare,Nyxair,18:30,N/A,2026-01-01
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:30,N/A,2026-01-01
FR 4611,Stockholm (Arlanda),Ryanair,18:40,N/A,2026-01-01
TK 1424,Istanbul,Turkish Airlines,18:55,N/A,2026-01-01
W6 2424,Budapest,Wizz Air Hungary,20:45,N/A,2026-01-01
BT 318,Riia,Air Baltic Corporation,21:25,N/A,2026-01-01
AY 1028,Helsingi,Finnair,21:30,N/A,2026-01-01
FR 2224,London (Stansted),Ryanair,21:50,N/A,2026-01-01
FR 9914,Barcelona,Ryanair,22:10,N/A,2026-01-01
AY 1032,Helsingi,Finnair,22:20,N/A,2026-01-01
