flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
FH 732,Antalya,Freebird Airlines,N/A,N/A,2026-04-25
LX 1317,Zürich,Swiss,N/A,N/A,2026-04-25
BT 362,Riia,Air Baltic Corporation,N/A,N/A,2026-04-25
STM 3463,Antalya,Skystream Airlines,05:40,N/A,2026-04-25
STM 3461,Antalya,Skystream Airlines,05:40,N/A,2026-04-25
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2026-04-25
AY 1036,Helsingi,Finnair,06:00,N/A,2026-04-25
BT 891,Palma De Mallorca,Air Baltic Corporation,06:00,N/A,2026-04-25
LH 885,Frankfurt,Deutsche Lufthansa,06:10,N/A,2026-04-25
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),06:15,N/A,2026-04-25
BT 7785,Heraklion,Air Baltic Corporation,06:40,N/A,2026-04-25
BT 879,Malaga,Air Baltic Corporation,07:10,N/A,2026-04-25
BT 857,Amsterdam,Air Baltic Corporation,07:30,N/A,2026-04-25
W6 1968,Vilnius,Wizz Air Hungary,08:05,N/A,2026-04-25
AY 1014,Helsingi,Finnair,08:10,N/A,2026-04-25
OJ 223,Kärdla,Nyxair,09:15,N/A,2026-04-25
BT 312,Riia,Air Baltic Corporation,09:20,N/A,2026-04-25
OJ 201,Kuressaare,Nyxair,10:05,N/A,2026-04-25
AY 1016,Helsingi,Finnair,10:10,N/A,2026-04-25
SK 1797,Kopenhaagen,Scandinavian Airlines System (SAS),11:20,N/A,2026-04-25
AY 1018,Helsingi,Finnair,13:40,N/A,2026-04-25
LH 881,Frankfurt,Deutsche Lufthansa,14:00,N/A,2026-04-25
BT 859,Amsterdam,Air Baltic Corporation,14:05,N/A,2026-04-25
U5 1001,Praha,SkyUp MT,14:15,N/A,2026-04-25
U5 7103,Sharm El Sheikh,SkyUp MT,14:15,N/A,2026-04-25
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),14:20,N/A,2026-04-25
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2026-04-25
BT 314,Riia,Air Baltic Corporation,15:15,N/A,2026-04-25
AY 1020,Helsingi,Finnair,15:35,N/A,2026-04-25
BT 865,Nice,Air Baltic Corporation,15:40,N/A,2026-04-25
HOT 3471,Heraklion,Valletta Airlines,15:40,N/A,2026-04-25
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:50,N/A,2026-04-25
AY 1024,Helsingi,Finnair,16:10,N/A,2026-04-25
BT 871,London (Gatwick),Air Baltic Corporation,17:00,N/A,2026-04-25
W6 2424,Budapest,Wizz Air Hungary,17:10,N/A,2026-04-25
AY 1022,Helsingi,Finnair,17:20,N/A,2026-04-25
W6 2046,Kraków,Wizz Air Hungary,17:30,N/A,2026-04-25
LH 883,Frankfurt,Deutsche Lufthansa,18:20,N/A,2026-04-25
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:25,N/A,2026-04-25
TK 1424,Istanbul,Turkish Airlines,19:35,N/A,2026-04-25
AY 1028,Helsingi,Finnair,21:20,N/A,2026-04-25
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2026-04-25
FR 2733,Berliin,Ryanair,22:00,N/A,2026-04-25
AY 1032,Helsingi,Finnair,23:15,N/A,2026-04-25
FR 4611,Stockholm (Arlanda),Ryanair,23:55,N/A,2026-04-25
