flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
BT 362,Riia,Air Baltic Corporation,05:30,N/A,2024-11-16
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:40,N/A,2024-11-16
AY 1036,Helsingi,Finnair,06:00,N/A,2024-11-16
LX 1317,Zürich,Swiss,06:05,N/A,2024-11-16
LH 885,Frankfurt,Deutsche Lufthansa,06:25,N/A,2024-11-16
SK 1783,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:00,N/A,2024-11-16
BT 823,München,Air Baltic Corporation,07:05,N/A,2024-11-16
BT 857,Amsterdam (Schiphol),Air Baltic Corporation,07:35,N/A,2024-11-16
AY 1012,Helsingi,Finnair,08:25,N/A,2024-11-16
BT 312,Riia,Air Baltic Corporation,08:55,N/A,2024-11-16
OJ 223,Kärdla,Nyxair,09:15,N/A,2024-11-16
FR 2733,Berliin,Ryanair,09:30,N/A,2024-11-16
OJ 201,Kuressaare,Nyxair,10:05,N/A,2024-11-16
HN 3481,Hurghada,Heston Airlines,10:10,N/A,2024-11-16
AY 1014,Helsingi,Finnair,10:35,N/A,2024-11-16
FR 2224,London (Stansted),Ryanair,11:15,N/A,2024-11-16
BT 7783,Hurghada,Air Baltic Corporation,11:30,N/A,2024-11-16
FR 5694,Dublin,Ryanair,11:50,N/A,2024-11-16
FR 736,Viin,Ryanair,12:15,N/A,2024-11-16
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:05,N/A,2024-11-16
SK 1773,Stockholm (Arlanda),Scandinavian Airlines System (SAS),14:30,N/A,2024-11-16
AY 1020,Helsingi,Finnair,14:40,N/A,2024-11-16
BT 316,Riia,Air Baltic Corporation,15:20,N/A,2024-11-16
PC 5962,Antalya,Pegasus Airlines,15:55,N/A,2024-11-16
BT 871,London (Gatwick),Air Baltic Corporation,16:00,N/A,2024-11-16
AY 1026,Helsingi,Finnair,17:20,N/A,2024-11-16
LH 883,Frankfurt,Deutsche Lufthansa,18:05,N/A,2024-11-16
TK 1424,Istanbul,Turkish Airlines,18:45,N/A,2024-11-16
FR 4623,Stockholm (Arlanda),Ryanair,19:20,N/A,2024-11-16
BT 318,Riia,Air Baltic Corporation,21:25,N/A,2024-11-16
AY 1032,Helsingi,Finnair,22:20,N/A,2024-11-16
