flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
QU 7221,Hurghada,Skyline Express Airline,N/A,N/A,2024-10-29
CAI 526,Antalya,Corendon Airlines,N/A,N/A,2024-10-29
TK 3025,Antalya,Turkish Airlines,03:45,N/A,2024-10-29
BT 362,Riia,Air Baltic Corporation,05:30,N/A,2024-10-29
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2024-10-29
LH 885,Frankfurt,Deutsche Lufthansa,05:55,N/A,2024-10-29
AY 1036,Helsingi,Finnair,06:00,N/A,2024-10-29
SK 1783,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:00,N/A,2024-10-29
BT 904,Vilnius,Air Baltic Corporation,07:00,N/A,2024-10-29
BT 823,München,Air Baltic Corporation,07:05,N/A,2024-10-29
BT 811,Kopenhaagen,Air Baltic Corporation,07:30,N/A,2024-10-29
OJ 223,Kärdla,Nyxair,07:30,N/A,2024-10-29
BT 857,Amsterdam (Schiphol),Air Baltic Corporation,07:35,N/A,2024-10-29
OJ 201,Kuressaare,Nyxair,07:40,N/A,2024-10-29
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:45,N/A,2024-10-29
AY 1012,Helsingi,Finnair,08:25,N/A,2024-10-29
BT 312,Riia,Air Baltic Corporation,08:55,N/A,2024-10-29
AY 1014,Helsingi,Finnair,10:35,N/A,2024-10-29
BT 7781,Sharm El Sheikh,Air Baltic Corporation,10:45,N/A,2024-10-29
W4 6446,Milano (Malpensa),Wizz Air Malta,10:50,N/A,2024-10-29
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),11:10,N/A,2024-10-29
FR 2224,London (Stansted),Ryanair,11:25,N/A,2024-10-29
FR 4764,Milano (Bergamo),Ryanair,11:35,N/A,2024-10-29
PC 5962,Antalya,Pegasus Airlines,13:25,N/A,2024-10-29
SK 1773,Stockholm (Arlanda),Scandinavian Airlines System (SAS),13:55,N/A,2024-10-29
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:05,N/A,2024-10-29
AY 1020,Helsingi,Finnair,14:40,N/A,2024-10-29
BT 316,Riia,Air Baltic Corporation,15:20,N/A,2024-10-29
AY 1022,Helsingi,Finnair,15:35,N/A,2024-10-29
BT 871,London (Gatwick),Air Baltic Corporation,16:00,N/A,2024-10-29
AY 1024,Helsingi,Finnair,16:30,N/A,2024-10-29
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:35,N/A,2024-10-29
FR 4623,Stockholm (Arlanda),Ryanair,17:00,N/A,2024-10-29
OJ 225,Kärdla,Nyxair,17:00,N/A,2024-10-29
AY 1026,Helsingi,Finnair,17:20,N/A,2024-10-29
LH 883,Frankfurt,Deutsche Lufthansa,18:05,N/A,2024-10-29
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:20,N/A,2024-10-29
OJ 207,Kuressaare,Nyxair,18:30,N/A,2024-10-29
BT 906,Vilnius,Air Baltic Corporation,18:30,N/A,2024-10-29
TK 1424,Istanbul,Turkish Airlines,18:45,N/A,2024-10-29
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:30,N/A,2024-10-29
AY 1028,Helsingi,Finnair,21:15,N/A,2024-10-29
BT 318,Riia,Air Baltic Corporation,21:25,N/A,2024-10-29
FR 9914,Barcelona,Ryanair,21:50,N/A,2024-10-29
AY 1032,Helsingi,Finnair,22:20,N/A,2024-10-29
